Date Read,My Review,Title,Bookshelves,Author,Publisher,My Rating,Average Rating,Binding,Year Published,Date Added,ISBN,ISBN13,ASIN
,,The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,to-read audible audiobook biographies-and-memoirs professionals-and-academics,Jimmy Soni,Simon & Schuster Audio,,4.7,Audible Audio,2022,2025-11-21,,,1797120212
,,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,to-read audible audiobook arts-and-entertainment entertainment-and-performing-arts,Robert Iger,Random House Audio,,4.8,Audible Audio,2019,2025-11-21,,,0525499334
,,Children of Ruin,to-read audible audiobook science-fiction-and-fantasy science-fiction,Adrian Tchaikovsky,Hachette Audio,,4.5,Audible Audio,2019,2025-11-21,,,1549119788
,,The Cross,read audible audiobook mystery-thriller-and-suspense mystery,Steve Cavanagh,Simon & Schuster Audio Originals,,,Audible Audio,2025,2025-11-21,,,B0F67JFQKT
,,Nash Falls,to-read audible audiobook literature-and-fiction action-and-adventure,David Baldacci,Grand Central Publishing,,4.7,Audible Audio,2025,2025-11-21,,,B0DZG5359Y
,,Exit Strategy: A Reacher Novel,read audible audiobook literature-and-fiction action-and-adventure,Lee Child,Random House Audio,,3.8,Audible Audio,2025,2025-11-21,,,B0DTZ6C6Z6
,,Children of Time,read audible audiobook science-fiction-and-fantasy fantasy,Adrian Tchaikovsky,Audible Studios,,4.5,Audible Audio,2017,2025-11-21,,,B071Y9TTHC
,,Hollywood Pharaohs,read audible audiobook mystery-thriller-and-suspense mystery,Andrew Mayne,Tantor Media,,4.1,Audible Audio,2020,2025-11-21,,,1705230962
,,"Impostor Syndrome: A Thriller (The Specialists, Book 2)",to-read audible audiobook mystery-thriller-and-suspense mystery,Andrew Mayne,Brilliance Audio,,4.3,Audible Audio,2025,2025-11-21,,,B0FC31X68V
,,The Shockwave Rider,to-read audible audiobook science-fiction-and-fantasy science-fiction,John Brunner,Skyboat Media,,4.4,Audible Audio,2020,2025-11-21,,,1094120693
,,"The Adversary: Tier One Thrillers, Book 9",to-read audible audiobook literature-and-fiction action-and-adventure,Brian Andrews,Blackstone Publishing,,4.9,Audible Audio,2025,2025-11-21,,,B0F9ZMR9Y3
,,"Smoke and Whispers: Zoë Boehm, Book 4",to-read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,,Audible Audio,2025,2025-11-21,1399815733,,
,,Down Cemetery Road: Zoë Boehm Thriller,to-read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.3,Audible Audio,2025,2025-11-21,1399815709,,
,,"The Last Voice You Hear: Zoe Boehm, Book 2",to-read audible audiobook mystery-thriller-and-suspense crime-fiction,Mick Herron,Recorded Books,,4.6,Audible Audio,2025,2025-11-21,1399815717,,
,,"Why We Die: Zoe Boehm, Book 3",to-read audible audiobook mystery-thriller-and-suspense crime-fiction,Mick Herron,Recorded Books,,4.5,Audible Audio,2025,2025-11-21,1473647037,,
,,The Tin Men,read audible audiobook literature-and-fiction genre-fiction,Nelson DeMille,Simon & Schuster Audio,,,Audible Audio,2025,2025-11-21,1501101897,,
,,"Mr. Whisper: A Thriller (The Specialists, Book 1)",to-read audible audiobook mystery-thriller-and-suspense mystery,Andrew Mayne,Brilliance Audio,,4.3,Audible Audio,2025,2025-11-21,,,B0DK3YKWYK
,,Drowning,to-read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,T. J. Newman,Simon & Schuster Audio,,4.3,Audible Audio,2023,2025-11-21,1982177926,,
,,Spilled Blood: A Novel,read audible audiobook audible-plus mystery-thriller-and-suspense thriller-and-suspense,Brian Freeman,"Blackstone Audio, Inc.",,4.5,Audible Audio,2012,2025-11-21,0857383035,,
,,William,to-read audible audiobook literature-and-fiction horror,Mason Coile,Penguin Audio,,4,Audible Audio,2024,2025-11-21,0593719611,,
,,The Proving Ground: A Lincoln Lawyer Novel,read audible audiobook mystery-thriller-and-suspense mystery,Michael Connelly,"Little, Brown & Company",,4.8,Audible Audio,2025,2025-11-21,1398719099,,
,,The Widow: A Novel,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,John Grisham,Random House Audio,,4.5,Audible Audio,2025,2025-11-21,0593669908,,
,,The Gun Man Jackson Swagger: A Western,read audible audiobook literature-and-fiction genre-fiction,Stephen Hunter,Simon & Schuster Audio,,4.8,Audible Audio,2025,2025-11-21,1668030411,,
,,Gone Before Goodbye,read audible audiobook literature-and-fiction genre-fiction,Harlan Coben,Grand Central Publishing,,4.4,Audible Audio,2025,2025-11-21,1804956228,,
,,Exiles,read audible audiobook literature-and-fiction horror,Mason Coile,Penguin Audio,,4.1,Audible Audio,2025,2025-11-21,0593851633,,
,,Sheepdogs: A Novel,currently-reading audible audiobook literature-and-fiction genre-fiction,Elliot Ackerman,Random House Audio,,3.9,Audible Audio,2025,2025-11-21,059380385X,,
,,Reacher: The Stories Behind the Stories,read audible audiobook education-and-learning words-language-and-grammar,Lee Child,Highbridge Audio,,4.5,Audible Audio,2025,2025-11-21,1613167563,,
,,Shadow Ticket,to-read audible audiobook mystery-thriller-and-suspense crime-fiction,Thomas Pynchon,Penguin Audio,,4.1,Audible Audio,2025,2025-11-21,1787336336,,
,,Photograph,read audible audiobook mystery-thriller-and-suspense crime-fiction,Brian Freeman,Blackstone Publishing,,4.7,Audible Audio,2025,2025-11-21,1665109947,,
,,Sharp Force,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Patricia Cornwell,Grand Central Publishing,,4.5,Audible Audio,2025,2025-11-21,1538773996,,
,,Cry Havoc: A Tom Reece Thriller,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Jack Carr,Simon & Schuster Audio,,4.9,Audible Audio,2025,2025-11-21,,9798891645554,
,,"The Reckoning: A Tom Keeler Thriller, Book 7",to-read audible audiobook literature-and-fiction genre-fiction,Jack Lively,General Projects Limited,,,Audible Audio,2025,2025-11-21,0007776330,,
,,Rebecca,to-read audible audiobook literature-and-fiction classics,Daphne du Maurier,Hachette Audio,,4.6,Audible Audio,2013,2025-11-21,0895776278,,
,,After Midnight: Thirteen Tales for the Dark Hours,to-read audible audiobook literature-and-fiction anthologies-and-short-stories,Daphne du Maurier,Simon & Schuster Audio,,,Audible Audio,2025,2025-11-21,0349019533,,
,,Denied Access: A Mitch Rapp Novel,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Vince Flynn,Simon & Schuster Audio,,4.4,Audible Audio,2025,2025-11-21,1761425749,,
,,"The Directive: Mike Ford, Book 2",currently-reading audible audiobook literature-and-fiction action-and-adventure,Matthew Quirk,Hachette Audio,,4.2,Audible Audio,2014,2025-11-21,0755387465,,
,,Circle of Days,currently-reading audible audiobook literature-and-fiction genre-fiction,Ken Follett,Grand Central Publishing,,4.4,Audible Audio,2025,2025-11-21,1529442354,,
,,"End Game: William Warwick, Book 8",to-read audible audiobook literature-and-fiction action-and-adventure,Jeffrey Archer,HarperCollins,,4.8,Audible Audio,2025,2025-11-21,0008640211,,
,,Cold Barrel Zero,read audible audiobook literature-and-fiction action-and-adventure,Matthew Quirk,Hachette Audio,,4.2,Audible Audio,2016,2025-11-21,0316259209,,
,,Into the Gray Zone: A Pike Logan Novel,currently-reading audible audiobook literature-and-fiction action-and-adventure,Brad Taylor,HarperAudio,,4.7,Audible Audio,2025,2025-11-21,1837933316,,
,,American Gunfight: The Plot to Kill Harry Truman and the Shoot-Out That Stopped It,read audible audiobook history americas,Stephen Hunter,Random House Audio,,3.6,Audible Audio,2005,2025-11-21,0743260694,,
,,"The Shattering Peace: Old Man's War, Book 7",to-read audible audiobook science-fiction-and-fantasy science-fiction,John Scalzi,Audible Studios,,4.5,Audible Audio,2025,2025-11-21,1509835393,,
,,Crooks: A Novel About Crime and Family,to-read audible audiobook literature-and-fiction genre-fiction,Lou Berney,HarperAudio,,4.6,Audible Audio,2025,2025-11-21,,,B0DQF2FN4R
,,The Long and Faraway Gone: A Novel,to-read audible audiobook literature-and-fiction genre-fiction,Lou Berney,HarperAudio,,4.3,Audible Audio,2019,2025-11-21,,,0062977342
,,"Rogue Frontier: Shadow Strike, Book 9",to-read audible audiobook literature-and-fiction genre-fiction,Jason Kasper,Recorded Books,,4.7,Audible Audio,2025,2025-11-21,,,B0DCGM4RBG
,,Artifact: A Sci-Fi Thriller,currently-reading audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Jeremy Robinson,Podium Audio,,4.7,Audible Audio,2025,2025-11-21,,,B0FJJBCJFB
,,The Secret of Secrets: A Novel,read audible audiobook literature-and-fiction action-and-adventure,Dan Brown,Random House Audio,,4.5,Audible Audio,2025,2025-11-21,,,B0DV1119K4
,,"Clown Town: Slough House, Book 9",read audible audiobook mystery-thriller-and-suspense mystery,Mick Herron,Recorded Books,,4.7,Audible Audio,2025,2025-11-21,,,B0F7Z13GSM
,,A Fire Upon the Deep,to-read audible audiobook science-fiction-and-fantasy fantasy,Vernor Vinge,Macmillan Audio,,4.3,Audible Audio,2010,2025-11-21,,,B0036N2C7M
,,Blindsight,read audible audiobook science-fiction-and-fantasy fantasy,Peter Watts,Recorded Books,,4.2,Audible Audio,2008,2025-11-21,,,B002V59TMM
,,"Apostle's Cove: Cork O'Connor Mysteries, Book 21",read audible audiobook mystery-thriller-and-suspense mystery,William Kent Krueger,Recorded Books,,4.6,Audible Audio,2025,2025-11-21,,,B0F3Y2CHYX
,,The Code: An Orphan X Short Story: Orphan X,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Gregg Hurwitz,Macmillan Audio,,4.6,Audible Audio,2025,2025-11-21,,,B0FGDQ6Y4R
,,Hansel and Gretel,read audible audiobook childrens-audiobooks action-and-adventure,Stephen King,HarperCollins,,4.2,Audible Audio,2025,2025-11-21,,,B0DQX93MVZ
,,Tom Clancy Terminal Velocity,read audible audiobook literature-and-fiction genre-fiction,M.P. Woodward,Random House Audio,,4.6,Audible Audio,2025,2025-11-21,,,B0DVDL45FD
,,The Girl with Ice in Her Veins: A Lisbeth Salander Novel,read audible audiobook mystery-thriller-and-suspense mystery,Karin Smirnoff,Random House Audio,,3.5,Audible Audio,2025,2025-11-21,,,B0DT7HH1L4
,,Four Lost Cities: A Secret History of the Urban Age,read audible audiobook history ancient,Annalee Newitz,"HighBridge, a division of Recorded Books",,4.2,Audible Audio,2021,2025-11-21,,,1696600391
,,Autonomous: A Novel,read audible audiobook science-fiction-and-fantasy science-fiction,Annalee Newitz,Macmillan Audio,,3.9,Audible Audio,2017,2025-11-21,,,B0753YMJD2
,,Automatic Noodle,read audible audiobook science-fiction-and-fantasy science-fiction,Annalee Newitz,Macmillan Audio,,4.4,Audible Audio,2025,2025-11-21,,,B0DFR9CYV3
,,Tomlinson's Wake,read audible audiobook mystery-thriller-and-suspense mystery,Randy Wayne White,Harlequin Audio,,3.9,Audible Audio,2025,2025-11-21,,,B0DK428364
,,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",read audible audiobook biographies-and-memoirs professionals-and-academics,Walter Isaacson,Simon & Schuster Audio,,4.7,Audible Audio,2021,2025-11-21,,,179711705X
,,"Bloodlands: John Milton, Book 23",read audible audiobook mystery-thriller-and-suspense mystery,Mark Dawson,Tantor Audio,,4.7,Audible Audio,2024,2025-11-21,,,B0D8QNBNYJ
,,"Three More Jack Reacher Novellas: Too Much Time, Small Wars, Not a Drill and Bonus Jack Reacher Stories",read audible audiobook literature-and-fiction action-and-adventure,Lee Child,Random House Audio,,4.5,Audible Audio,2017,2025-11-21,,,B06XPX5LJC
,,"The Devil's Advocate: A Novel: Eddie Flynn, Book 6",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Steve Cavanagh,Simon & Schuster Audio,,4.6,Audible Audio,2025,2025-11-21,1668093480,,
,,Devil's Garden,read audible audiobook mystery-thriller-and-suspense crime-fiction,Ace Atkins,Recorded Books,,4.7,Audible Audio,2024,2025-11-21,0399155368,,
