Date Read,My Review,Title,Bookshelves,Author,Publisher,My Rating,Average Rating,Binding,Year Published,Date Added,ISBN,ISBN13,ASIN
,,"Apostle's Cove: Cork O'Connor Mysteries, Book 21",to-read audible audiobook mystery-thriller-and-suspense mystery,William Kent Krueger,Recorded Books,,4.1,Audible Audio,2025,2025-09-04,,,B0F3Y2CHYX
,,The Code: An Orphan X Short Story: Orphan X,read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Gregg Hurwitz,Macmillan Audio,,4.8,Audible Audio,2025,2025-09-04,,,B0FGDQ6Y4R
,,Hansel and Gretel,to-read audible audiobook childrens-audiobooks fairy-tales-folk-tales-and-myths,Stephen King,HarperCollins,,4.1,Audible Audio,2025,2025-09-04,,,B0DQX93MVZ
,,"Tom Clancy: Terminal Velocity: A Jack Ryan Jr. Novel, Book 14",currently-reading audible audiobook literature-and-fiction genre-fiction,M.P. Woodward,Random House Audio,,5,Audible Audio,2025,2025-09-04,,,B0DVDL45FD
,,"The Girl with Ice in Her Veins: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series, Book 8)",to-read audible audiobook mystery-thriller-and-suspense mystery,Karin Smirnoff,Random House Audio,,3,Audible Audio,2025,2025-09-04,,,B0DT7HH1L4
,,Four Lost Cities: A Secret History of the Urban Age,to-read audible audiobook history ancient,Annalee Newitz,"HighBridge, a division of Recorded Books",,4.2,Audible Audio,2021,2025-09-04,,,1696600391
,,Autonomous: A Novel,to-read audible audiobook science-fiction-and-fantasy science-fiction,Annalee Newitz,Macmillan Audio,,3.9,Audible Audio,2017,2025-09-04,,,B0753YMJD2
,,Automatic Noodle,currently-reading audible audiobook science-fiction-and-fantasy science-fiction,Annalee Newitz,Macmillan Audio,,4.5,Audible Audio,2025,2025-09-04,,,B0DFR9CYV3
,,Tomlinson's Wake,read audible audiobook mystery-thriller-and-suspense mystery,Randy Wayne White,Harlequin Audio,,4.2,Audible Audio,2025,2025-09-04,,,B0DK428364
,,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",read audible audiobook biographies-and-memoirs professionals-and-academics,Walter Isaacson,Simon & Schuster Audio,,4.7,Audible Audio,2021,2025-09-04,,,179711705X
,,"Bloodlands: John Milton, Book 23",read audible audiobook mystery-thriller-and-suspense mystery,Mark Dawson,Tantor Audio,,4.7,Audible Audio,2024,2025-09-04,,,B0D8QNBNYJ
,,"Three More Jack Reacher Novellas: Too Much Time, Small Wars, Not a Drill and Bonus Jack Reacher Stories",read audible audiobook literature-and-fiction action-and-adventure,Lee Child,Random House Audio,,4.5,Audible Audio,2017,2025-09-04,,,B06XPX5LJC
,,"The Devil's Advocate: A Novel: Eddie Flynn, Book 6",read audible audiobook mystery-thriller-and-suspense thriller-and-suspense,Steve Cavanagh,Simon & Schuster Audio,,4.6,Audible Audio,2025,2025-09-04,,,B0DJRN1ZFN
,,Devil's Garden,read audible audiobook mystery-thriller-and-suspense crime-fiction,Ace Atkins,Recorded Books,,4.7,Audible Audio,2024,2025-09-04,,,B0CQQCGKPN
,,"Crossroad Blues (25th Anniversary Edition): Nick Travers, Book 1",to-read audible audiobook mystery-thriller-and-suspense crime-fiction,Ace Atkins,Recorded Books,,4.5,Audible Audio,2024,2025-09-04,,,B0CTW9MLJF
,,White Shadow,currently-reading audible audiobook mystery-thriller-and-suspense crime-fiction,Ace Atkins,Recorded Books,,4.1,Audible Audio,2024,2025-09-04,,,B0CQPZZ5MY
,,The Optimist,currently-reading audible audiobook biographies-and-memoirs professionals-and-academics,Keach Hagey,Spotify Audiobooks,,4.5,Audible Audio,2025,2025-09-04,,,B0DY3576JT
,,The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,read audible audiobook audible-plus biographies-and-memoirs true-crime,Cliff Stoll,Tantor Audio,,4.7,Audible Audio,2020,2025-09-04,,,1977300472
